player_name,ast,season,ast_rank
"Mark Jackson",11.4,1996-97,1
"John Stockton",10.5,1996-97,2
"Kevin Johnson",9.3,1996-97,3
"Jason Kidd",9,1996-97,4
"Rod Strickland",8.9,1996-97,5
"Damon Stoudamire",8.8,1996-97,6
"Tim Hardaway",8.6,1996-97,7
"Nick Van Exel",8.5,1996-97,8
"Robert Pack",8.4,1996-97,9
"Stephon Marbury",7.8,1996-97,10
"Rod Strickland",10.5,1997-98,1
"Jason Kidd",9.1,1997-98,2
"Mark Jackson",8.7,1997-98,3
"Stephon Marbury",8.6,1997-98,4
"John Stockton",8.5,1997-98,5
"Gary Payton",8.3,1997-98,6
"Tim Hardaway",8.3,1997-98,6
"Damon Stoudamire",8.2,1997-98,8
"Brevin Knight",8.2,1997-98,8
"Sam Cassell",8,1997-98,10
"Jason Kidd",10.8,1998-99,1
"Rod Strickland",9.9,1998-99,2
"Stephon Marbury",8.9,1998-99,3
"Gary Payton",8.7,1998-99,4
"Terrell Brandon",8.6,1998-99,5
"Mark Jackson",7.9,1998-99,6
"Brevin Knight",7.7,1998-99,7
"John Stockton",7.5,1998-99,8
"Nick Van Exel",7.4,1998-99,9
"Avery Johnson",7.4,1998-99,9
"Jason Kidd",10.1,1999-00,1
"Nick Van Exel",9,1999-00,2
"Sam Cassell",9,1999-00,2
"Gary Payton",8.9,1999-00,4
"Terrell Brandon",8.9,1999-00,4
"John Stockton",8.6,1999-00,6
"Stephon Marbury",8.4,1999-00,7
"Mike Bibby",8.1,1999-00,8
"Mark Jackson",8,1999-00,9
"Eric Snow",7.6,1999-00,10
"Jason Kidd",9.8,2000-01,1
"John Stockton",8.7,2000-01,2
"Nick Van Exel",8.5,2000-01,3
"Mike Bibby",8.4,2000-01,4
"Gary Payton",8.1,2000-01,5
"Mark Jackson",8,2000-01,6
"Andre Miller",8,2000-01,6
"Stephon Marbury",7.6,2000-01,8
"Sam Cassell",7.6,2000-01,8
"Terrell Brandon",7.5,2000-01,10
"Andre Miller",10.9,2001-02,1
"Jason Kidd",9.9,2001-02,2
"Gary Payton",9,2001-02,3
"Baron Davis",8.5,2001-02,4
"Terrell Brandon",8.3,2001-02,5
"John Stockton",8.2,2001-02,6
"Stephon Marbury",8.1,2001-02,7
"Jamaal Tinsley",8.1,2001-02,7
"Jason Williams",8,2001-02,9
"Steve Nash",7.7,2001-02,10
"Jason Kidd",8.9,2002-03,1
"Gary Payton",8.3,2002-03,2
"Jason Williams",8.3,2002-03,2
"Stephon Marbury",8.1,2002-03,4
"John Stockton",7.7,2002-03,5
"Jamaal Tinsley",7.5,2002-03,6
"Jason Terry",7.4,2002-03,7
"Steve Nash",7.3,2002-03,8
"Andre Miller",6.7,2002-03,9
"Eric Snow",6.6,2002-03,10
"Jason Kidd",9.2,2003-04,1
"Stephon Marbury",8.9,2003-04,2
"Steve Nash",8.8,2003-04,3
"Baron Davis",7.5,2003-04,4
"Sam Cassell",7.3,2003-04,5
"Eric Snow",6.9,2003-04,6
"Allen Iverson",6.8,2003-04,7
"Kirk Hinrich",6.8,2003-04,7
"Jason Williams",6.8,2003-04,7
"T.J. Ford",6.5,2003-04,10
"Steve Nash",11.5,2004-05,1
"Brevin Knight",9,2004-05,2
"Jason Kidd",8.3,2004-05,3
"Stephon Marbury",8.1,2004-05,4
"Allen Iverson",7.9,2004-05,5
"Baron Davis",7.9,2004-05,5
"LeBron James",7.2,2004-05,7
"Steve Francis",7,2004-05,8
"Andre Miller",6.9,2004-05,9
"Dwyane Wade",6.8,2004-05,10
"Mike Bibby",6.8,2004-05,10
"Steve Nash",10.5,2005-06,1
"Baron Davis",8.9,2005-06,2
"Brevin Knight",8.8,2005-06,3
"Chauncey Billups",8.6,2005-06,4
"Jason Kidd",8.4,2005-06,5
"Andre Miller",8.2,2005-06,6
"Chris Paul",7.8,2005-06,7
"Allen Iverson",7.4,2005-06,8
"Luke Ridnour",7,2005-06,9
"Rafer Alston",6.7,2005-06,10
"Dwyane Wade",6.7,2005-06,10
"Steve Nash",11.6,2006-07,1
"Deron Williams",9.3,2006-07,2
"Jason Kidd",9.2,2006-07,3
"Chris Paul",8.9,2006-07,4
"Baron Davis",8.1,2006-07,5
"T.J. Ford",7.9,2006-07,6
"Andre Miller",7.8,2006-07,7
"Dwyane Wade",7.5,2006-07,8
"Chauncey Billups",7.2,2006-07,9
"Allen Iverson",7.2,2006-07,9
"Chris Paul",11.6,2007-08,1
"Steve Nash",11.1,2007-08,2
"Deron Williams",10.5,2007-08,3
"Jason Kidd",10.1,2007-08,4
"Jamaal Tinsley",8.4,2007-08,5
"Jose Calderon",8.3,2007-08,6
"Baron Davis",7.6,2007-08,7
"Ramon Sessions",7.5,2007-08,8
"Raymond Felton",7.4,2007-08,9
"LeBron James",7.2,2007-08,10
"Chris Paul",11,2008-09,1
"Deron Williams",10.7,2008-09,2
"Gilbert Arenas",10,2008-09,3
"Steve Nash",9.7,2008-09,4
"Jose Calderon",8.9,2008-09,5
"Jason Kidd",8.7,2008-09,6
"Rajon Rondo",8.2,2008-09,7
"Baron Davis",7.7,2008-09,8
"Dwyane Wade",7.5,2008-09,9
"LeBron James",7.2,2008-09,10
"Chris Duhon",7.2,2008-09,10
"Steve Nash",11,2009-10,1
"Chris Paul",10.7,2009-10,2
"Deron Williams",10.5,2009-10,3
"Rajon Rondo",9.8,2009-10,4
"Jason Kidd",9.1,2009-10,5
"LeBron James",8.6,2009-10,6
"Baron Davis",8,2009-10,7
"Russell Westbrook",8,2009-10,7
"Gilbert Arenas",7.2,2009-10,9
"Devin Harris",6.6,2009-10,10
"Steve Nash",11.4,2010-11,1
"Rajon Rondo",11.2,2010-11,2
"Deron Williams",10.3,2010-11,3
"Chris Paul",9.8,2010-11,4
"Jose Calderon",8.9,2010-11,5
"John Wall",8.3,2010-11,6
"Raymond Felton",8.3,2010-11,6
"Russell Westbrook",8.2,2010-11,8
