player_name,pts,season,pts_rank
"Michael Jordan",29.6,1996-97,1
"Karl Malone",27.4,1996-97,2
"Glen Rice",26.8,1996-97,3
"Shaquille O'Neal",26.2,1996-97,4
"Mitch Richmond",25.9,1996-97,5
"Latrell Sprewell",24.2,1996-97,6
"Allen Iverson",23.5,1996-97,7
"Hakeem Olajuwon",23.2,1996-97,8
"Patrick Ewing",22.4,1996-97,9
"LaPhonso Ellis",21.9,1996-97,10
"Michael Jordan",28.7,1997-98,1
"Shaquille O'Neal",28.3,1997-98,2
"Karl Malone",27,1997-98,3
"Glenn Robinson",23.4,1997-98,4
"Mitch Richmond",23.2,1997-98,5
"Antoine Walker",22.4,1997-98,6
"Shareef Abdur-Rahim",22.3,1997-98,7
"Glen Rice",22.3,1997-98,7
"Allen Iverson",22,1997-98,9
"Chris Webber",21.9,1997-98,10
"Allen Iverson",26.8,1998-99,1
"Shaquille O'Neal",26.3,1998-99,2
"Karl Malone",23.8,1998-99,3
"Shareef Abdur-Rahim",23,1998-99,4
"Keith Van Horn",21.8,1998-99,5
"Gary Payton",21.7,1998-99,6
"Tim Duncan",21.7,1998-99,6
"Stephon Marbury",21.3,1998-99,8
"Antonio McDyess",21.2,1998-99,9
"Grant Hill",21.1,1998-99,10
"Shaquille O'Neal",29.7,1999-00,1
"Allen Iverson",28.4,1999-00,2
"Grant Hill",25.8,1999-00,3
"Vince Carter",25.7,1999-00,4
"Karl Malone",25.5,1999-00,5
"Chris Webber",24.5,1999-00,6
"Gary Payton",24.2,1999-00,7
"Jerry Stackhouse",23.6,1999-00,8
"Tim Duncan",23.2,1999-00,9
"Kevin Garnett",22.9,1999-00,10
"Allen Iverson",31.1,2000-01,1
"Jerry Stackhouse",29.8,2000-01,2
"Shaquille O'Neal",28.7,2000-01,3
"Kobe Bryant",28.5,2000-01,4
"Vince Carter",27.6,2000-01,5
"Chris Webber",27.1,2000-01,6
"Tracy McGrady",26.8,2000-01,7
"Paul Pierce",25.3,2000-01,8
"Antawn Jamison",24.9,2000-01,9
"Stephon Marbury",23.9,2000-01,10
"Allen Iverson",31.4,2001-02,1
"Shaquille O'Neal",27.2,2001-02,2
"Paul Pierce",26.1,2001-02,3
"Tracy McGrady",25.6,2001-02,4
"Tim Duncan",25.5,2001-02,5
"Kobe Bryant",25.2,2001-02,6
"Vince Carter",24.7,2001-02,7
"Chris Webber",24.5,2001-02,8
"Dirk Nowitzki",23.4,2001-02,9
"Michael Jordan",22.9,2001-02,10
"Tracy McGrady",32.1,2002-03,1
"Kobe Bryant",30,2002-03,2
"Allen Iverson",27.6,2002-03,3
"Shaquille O'Neal",27.5,2002-03,4
"Paul Pierce",25.9,2002-03,5
"Dirk Nowitzki",25.1,2002-03,6
"Tim Duncan",23.3,2002-03,7
"Chris Webber",23,2002-03,8
"Kevin Garnett",23,2002-03,8
"Allan Houston",22.5,2002-03,10
"Ray Allen",22.5,2002-03,10
"Tracy McGrady",28,2003-04,1
"Allen Iverson",26.4,2003-04,2
"Peja Stojakovic",24.2,2003-04,3
"Kevin Garnett",24.2,2003-04,3
"Kobe Bryant",24,2003-04,5
"Paul Pierce",23,2003-04,6
"Ray Allen",23,2003-04,6
"Baron Davis",22.9,2003-04,8
"Vince Carter",22.5,2003-04,9
"Tim Duncan",22.3,2003-04,10
"Allen Iverson",30.7,2004-05,1
"Kobe Bryant",27.6,2004-05,2
"LeBron James",27.2,2004-05,3
"Dirk Nowitzki",26.1,2004-05,4
"Amar'e Stoudemire",26,2004-05,5
"Tracy McGrady",25.7,2004-05,6
"Gilbert Arenas",25.5,2004-05,7
"Metta World Peace",24.6,2004-05,8
"Vince Carter",24.5,2004-05,9
"Jermaine O'Neal",24.3,2004-05,10
"Kobe Bryant",35.4,2005-06,1
"Allen Iverson",33,2005-06,2
"LeBron James",31.4,2005-06,3
"Gilbert Arenas",29.3,2005-06,4
"Dwyane Wade",27.2,2005-06,5
"Paul Pierce",26.8,2005-06,6
"Dirk Nowitzki",26.6,2005-06,7
"Carmelo Anthony",26.5,2005-06,8
"Michael Redd",25.4,2005-06,9
"Ray Allen",25.1,2005-06,10
"Kobe Bryant",31.6,2006-07,1
"Carmelo Anthony",28.9,2006-07,2
"Gilbert Arenas",28.4,2006-07,3
"Dwyane Wade",27.4,2006-07,4
"LeBron James",27.3,2006-07,5
"Michael Redd",26.7,2006-07,6
"Ray Allen",26.4,2006-07,7
"Allen Iverson",26.3,2006-07,8
"Vince Carter",25.2,2006-07,9
"Yao Ming",25,2006-07,10
"Paul Pierce",25,2006-07,10
"Joe Johnson",25,2006-07,10
"LeBron James",30,2007-08,1
"Kobe Bryant",28.3,2007-08,2
"Allen Iverson",26.4,2007-08,3
"Carmelo Anthony",25.7,2007-08,4
"Amar'e Stoudemire",25.2,2007-08,5
"Dwyane Wade",24.6,2007-08,6
"Kevin Martin",23.7,2007-08,7
"Dirk Nowitzki",23.6,2007-08,8
"Michael Redd",22.7,2007-08,9
"Richard Jefferson",22.6,2007-08,10
"Dwyane Wade",30.2,2008-09,1
"LeBron James",28.4,2008-09,2
"Kobe Bryant",26.8,2008-09,3
"Dirk Nowitzki",25.9,2008-09,4
"Danny Granger",25.8,2008-09,5
"Kevin Durant",25.3,2008-09,6
"Kevin Martin",24.6,2008-09,7
"Al Jefferson",23.1,2008-09,8
"Chris Paul",22.8,2008-09,9
"Carmelo Anthony",22.8,2008-09,9
"Kevin Durant",30.1,2009-10,1
"LeBron James",29.7,2009-10,2
"Carmelo Anthony",28.2,2009-10,3
"Kobe Bryant",27,2009-10,4
"Dwyane Wade",26.6,2009-10,5
"Monta Ellis",25.5,2009-10,6
"Dirk Nowitzki",25,2009-10,7
"Danny Granger",24.1,2009-10,8
"Chris Bosh",24,2009-10,9
"Amar'e Stoudemire",23.1,2009-10,10
"Kevin Durant",27.7,2010-11,1
"LeBron James",26.7,2010-11,2
"Carmelo Anthony",25.6,2010-11,3
"Dwyane Wade",25.5,2010-11,4
"Amar'e Stoudemire",25.3,2010-11,5
"Kobe Bryant",25.3,2010-11,5
"Derrick Rose",25,2010-11,7
"Monta Ellis",24.1,2010-11,8
"Kevin Martin",23.5,2010-11,9
"Dirk Nowitzki",23,2010-11,10
"Kevin Durant",28,2011-12,1
"Kobe Bryant",27.9,2011-12,2
"LeBron James",27.1,2011-12,3
"Kevin Love",26,2011-12,4
"Russell Westbrook",23.6,2011-12,5
"Carmelo Anthony",22.6,2011-12,6
"Dwyane Wade",22.1,2011-12,7
"Derrick Rose",21.8,2011-12,8
"LaMarcus Aldridge",21.7,2011-12,9
"Dirk Nowitzki",21.6,2011-12,10
"Carmelo Anthony",28.7,2012-13,1
"Kevin Durant",28.1,2012-13,2
"Kobe Bryant",27.3,2012-13,3
"LeBron James",26.8,2012-13,4
"James Harden",25.9,2012-13,5
"Russell Westbrook",23.2,2012-13,6
"Stephen Curry",22.9,2012-13,7
"Kyrie Irving",22.5,2012-13,8
"Dwyane Wade",21.2,2012-13,9
"LaMarcus Aldridge",21.1,2012-13,10
"Kevin Durant",32,2013-14,1
"Carmelo Anthony",27.4,2013-14,2
"LeBron James",27.1,2013-14,3
"Kevin Love",26.1,2013-14,4
"James Harden",25.4,2013-14,5
"Blake Griffin",24.1,2013-14,6
"Stephen Curry",24,2013-14,7
"LaMarcus Aldridge",23.2,2013-14,8
"DeMarcus Cousins",22.7,2013-14,9
"DeMar DeRozan",22.7,2013-14,9
"Russell Westbrook",28.1,2014-15,1
"James Harden",27.4,2014-15,2
"Kevin Durant",25.4,2014-15,3
"LeBron James",25.3,2014-15,4
"Anthony Davis",24.4,2014-15,5
"Carmelo Anthony",24.2,2014-15,6
"DeMarcus Cousins",24.1,2014-15,7
"Stephen Curry",23.8,2014-15,8
"LaMarcus Aldridge",23.4,2014-15,9
"Kobe Bryant",22.3,2014-15,10
"Stephen Curry",30.1,2015-16,1
"James Harden",29,2015-16,2
"Kevin Durant",28.2,2015-16,3
"DeMarcus Cousins",26.9,2015-16,4
"LeBron James",25.3,2015-16,5
"Damian Lillard",25.1,2015-16,6
"Anthony Davis",24.3,2015-16,7
"DeMar DeRozan",23.5,2015-16,8
"Russell Westbrook",23.5,2015-16,8
"Paul George",23.1,2015-16,10
"Russell Westbrook",31.6,2016-17,1
"James Harden",29.1,2016-17,2
"Isaiah Thomas",28.9,2016-17,3
"Anthony Davis",28,2016-17,4
"DeMar DeRozan",27.3,2016-17,5
"DeMarcus Cousins",27,2016-17,6
"Damian Lillard",27,2016-17,6
"LeBron James",26.4,2016-17,8
"Kawhi Leonard",25.5,2016-17,9
"Stephen Curry",25.3,2016-17,10
"James Harden",30.4,2017-18,1
"Anthony Davis",28.1,2017-18,2
"LeBron James",27.5,2017-18,3
"Damian Lillard",26.9,2017-18,4
"Giannis Antetokounmpo",26.9,2017-18,4
"Kevin Durant",26.4,2017-18,6
"Stephen Curry",26.4,2017-18,6
"Russell Westbrook",25.4,2017-18,8
"DeMarcus Cousins",25.2,2017-18,9
"Devin Booker",24.9,2017-18,10
"James Harden",36.1,2018-19,1
"Paul George",28,2018-19,2
"Giannis Antetokounmpo",27.7,2018-19,3
"Joel Embiid",27.5,2018-19,4
"LeBron James",27.4,2018-19,5
"Stephen Curry",27.3,2018-19,6
"Devin Booker",26.6,2018-19,7
"Kawhi Leonard",26.6,2018-19,7
"Kevin Durant",26,2018-19,9
"Anthony Davis",25.9,2018-19,10
"James Harden",34.3,2019-20,1
"Bradley Beal",30.5,2019-20,2
"Damian Lillard",30,2019-20,3
"Trae Young",29.6,2019-20,4
"Giannis Antetokounmpo",29.5,2019-20,5
"Luka Doncic",28.8,2019-20,6
"Kyrie Irving",27.4,2019-20,7
"Russell Westbrook",27.2,2019-20,8
"Kawhi Leonard",27.1,2019-20,9
"Devin Booker",26.6,2019-20,10
"Stephen Curry",32,2020-21,1
"Bradley Beal",31.3,2020-21,2
"Damian Lillard",28.8,2020-21,3
"Joel Embiid",28.5,2020-21,4
"Giannis Antetokounmpo",28.1,2020-21,5
"Luka Doncic",27.7,2020-21,6
"Zach LaVine",27.4,2020-21,7
"Zion Williamson",27,2020-21,8
"Kyrie Irving",26.9,2020-21,9
"Kevin Durant",26.9,2020-21,9
"Joel Embiid",30.6,2021-22,1
"LeBron James",30.3,2021-22,2
"Giannis Antetokounmpo",29.9,2021-22,3
"Kevin Durant",29.9,2021-22,3
"Trae Young",28.4,2021-22,5
"Luka Doncic",28.4,2021-22,5
"DeMar DeRozan",27.9,2021-22,7
"Kyrie Irving",27.4,2021-22,8
"Ja Morant",27.4,2021-22,8
"Nikola Jokic",27.1,2021-22,10
"Joel Embiid",33.1,2022-23,1
"Luka Doncic",32.4,2022-23,2
"Damian Lillard",32.2,2022-23,3
"Shai Gilgeous-Alexander",31.4,2022-23,4
"Giannis Antetokounmpo",31.1,2022-23,5
"Jayson Tatum",30.1,2022-23,6
"Stephen Curry",29.4,2022-23,7
"Kevin Durant",29.1,2022-23,8
"LeBron James",28.9,2022-23,9
"Donovan Mitchell",28.3,2022-23,10
