player_name,reb,season,reb_rank
"Dennis Rodman",16.1,1996-97,1
"Jayson Williams",13.5,1996-97,2
"Charles Barkley",13.5,1996-97,2
"Shaquille O'Neal",12.5,1996-97,4
"Dikembe Mutombo",11.6,1996-97,5
"Anthony Mason",11.4,1996-97,6
"Ervin Johnson",11.1,1996-97,7
"Patrick Ewing",10.7,1996-97,8
"Chris Webber",10.3,1996-97,9
"Vin Baker",10.3,1996-97,9
"Dennis Rodman",15,1997-98,1
"Jayson Williams",13.6,1997-98,2
"Tim Duncan",11.9,1997-98,3
"Charles Barkley",11.7,1997-98,4
"Shaquille O'Neal",11.4,1997-98,5
"Dikembe Mutombo",11.4,1997-98,5
"Tyrone Hill",10.7,1997-98,7
"David Robinson",10.6,1997-98,8
"Karl Malone",10.3,1997-98,9
"Patrick Ewing",10.2,1997-98,10
"Anthony Mason",10.2,1997-98,10
"Antoine Walker",10.2,1997-98,10
"Chris Webber",13,1998-99,1
"Charles Barkley",12.3,1998-99,2
"Dikembe Mutombo",12.2,1998-99,3
"Jayson Williams",12,1998-99,4
"Danny Fortson",11.6,1998-99,5
"Tim Duncan",11.4,1998-99,6
"Dennis Rodman",11.2,1998-99,7
"Alonzo Mourning",11,1998-99,8
"Shaquille O'Neal",10.7,1998-99,9
"Antonio McDyess",10.7,1998-99,9
"Dennis Rodman",14.3,1999-00,1
"Dikembe Mutombo",14.1,1999-00,2
"Shaquille O'Neal",13.6,1999-00,3
"Tim Duncan",12.4,1999-00,4
"Kevin Garnett",11.8,1999-00,5
"Chris Webber",10.5,1999-00,6
"Charles Barkley",10.5,1999-00,6
"Shareef Abdur-Rahim",10.1,1999-00,8
"Donyell Marshall",10,1999-00,9
"Elton Brand",10,1999-00,9
"Danny Fortson",16.3,2000-01,1
"Dikembe Mutombo",13.5,2000-01,2
"Ben Wallace",13.2,2000-01,3
"Shaquille O'Neal",12.7,2000-01,4
"Tim Duncan",12.2,2000-01,5
"Antonio McDyess",12.1,2000-01,6
"Marcus Camby",11.5,2000-01,7
"Kevin Garnett",11.4,2000-01,8
"Chris Webber",11.1,2000-01,9
"Shawn Marion",10.7,2000-01,10
"Ben Wallace",13,2001-02,1
"Tim Duncan",12.7,2001-02,2
"Kevin Garnett",12.1,2001-02,3
"Danny Fortson",11.7,2001-02,4
"Elton Brand",11.6,2001-02,5
"Marcus Camby",11.1,2001-02,6
"Dikembe Mutombo",10.8,2001-02,7
"Shaquille O'Neal",10.7,2001-02,8
"Jermaine O'Neal",10.5,2001-02,9
"Tyrone Hill",10.5,2001-02,9
"Ben Wallace",15.4,2002-03,1
"Kevin Garnett",13.4,2002-03,2
"Tim Duncan",12.9,2002-03,3
"Elton Brand",11.3,2002-03,4
"Shaquille O'Neal",11.1,2002-03,5
"Chris Webber",10.5,2002-03,6
